fname,label
algo.wav,Experimental
badguys.wav,Pop
believer.wav,Experimental
chopinmajs.wav,Experimental
chopins.wav,Instrumental
disturbed.wav,Experimental
dove.wav,Experimental
experiences.wav,International
gomez.wav,Experimental
helas.wav,Folk
iawfyls.wav,Experimental
kazak.wav,Experimental
luna.wav,Experimental
megamixs.wav,Rock
melnisa.wav,Experimental
nelubov.wav,Experimental
ntr.wav,Experimental
oxys.wav,Hip-Hop
prodigys.wav,Electronic
radioprots.wav,Instrumental
ramm.wav,Experimental
sioux.wav,Experimental
sorry.wav,Experimental
venoms.wav,Hip-Hop
whatevers.wav,Rock
zemla.wav,Experimental
