fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred
A Tribe Called Quest_Can I Kick It.wav,0.10797122865915298,0.07947883754968643,0.07845217734575272,0.27546226978302,0.017200080677866936,0.2015102505683899,0.14724363386631012,0.09268154203891754,Hip-Hop
A$AP Rocky_Peso.wav,0.04939080402255058,0.09993616491556168,0.1621849685907364,0.3424733579158783,0.010212584398686886,0.08452923595905304,0.17872369289398193,0.07254920154809952,Hip-Hop
Adele_Rolling in the Deep.wav,0.079746313393116,0.12156084924936295,0.059849947690963745,0.19001688063144684,0.001127942348830402,0.11061233282089233,0.12686997652053833,0.3102159798145294,Rock
Aerosmith_Dream On.wav,0.04219980910420418,0.06979985535144806,0.10022138804197311,0.12552209198474884,0.01738004945218563,0.1319720298051834,0.13858258724212646,0.3743222951889038,Rock
Alam Khan_Pilu Ragmala in Rupak.wav,0.008208796381950378,0.06891088932752609,0.22602857649326324,0.10149867832660675,0.11769915372133255,0.32011425495147705,0.103805772960186,0.05373390391469002,International
Alan Walker_Darkside.wav,0.24360381066799164,0.20573757588863373,0.039599206298589706,0.1857365518808365,0.0029685627669095993,0.09210804849863052,0.0948399007320404,0.13540634512901306,Electronic
America_A Horse with No Name.wav,0.01499002706259489,0.07316095381975174,0.21666449308395386,0.08634471148252487,0.020601768046617508,0.28056854009628296,0.1457637995481491,0.16190554201602936,International
"Antonio Vivaldi_Concerto for 2 Violins in A Minor, RV 522  I. Allegro.wav",0.018332790583372116,0.11072251945734024,0.09968611598014832,0.09975668042898178,0.052637696266174316,0.29023462533950806,0.13082881271839142,0.19780097901821136,International
"Antonio Vivaldi_Vivaldi  Violin Concerto in E Major, RV 269, No. 1, Spring  I. Allegro.wav",0.016476420685648918,0.10383274406194687,0.08686874061822891,0.10823345184326172,0.09271268546581268,0.2968524396419525,0.08472270518541336,0.21030068397521973,International
"Antonio Vivaldi_Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156).wav",0.026510735973715782,0.10212575644254684,0.5402647852897644,0.045655038207769394,0.0643107071518898,0.06051282957196236,0.0926717221736908,0.06794837862253189,Folk
Arcana_As the End Draws Near.wav,0.06528400629758835,0.08225583285093307,0.15415740013122559,0.12115541100502014,0.006866355426609516,0.05002420023083687,0.2556459903717041,0.26461076736450195,Rock
B.o.B_Airplanes (feat. Hayley Williams).wav,0.09600364416837692,0.08806908130645752,0.05095722898840904,0.1624314785003662,0.007340089417994022,0.061135184019804,0.15828454494476318,0.3757789134979248,Rock
Black Sabbath_Iron Man - 2014 Remaster.wav,0.06562039256095886,0.054478757083415985,0.04939432069659233,0.13167782127857208,0.07926620543003082,0.23638521134853363,0.11622266471385956,0.26695457100868225,Rock
Bonobo_Cirrus.wav,0.23619875311851501,0.06951409578323364,0.05273689329624176,0.2044186145067215,0.03027888759970665,0.10302899032831192,0.17741304636001587,0.12641067802906036,Electronic
Bruno Mars_Grenade.wav,0.10273005068302155,0.09648634493350983,0.05342401564121246,0.22975702583789825,0.007225194945931435,0.07327116280794144,0.1484823375940323,0.2886238992214203,Rock
Busta Rhymes_Break Ya Neck.wav,0.12156063318252563,0.1231524646282196,0.0551200732588768,0.3846159875392914,0.014746434055268764,0.10242250561714172,0.13036619126796722,0.06801574677228928,Hip-Hop
Calvin Harris_Summer.wav,0.4219950735569,0.11116859316825867,0.01289901789277792,0.08607016503810883,0.0002486270386725664,0.037248652428388596,0.06562885642051697,0.26474127173423767,Electronic
